tiempo,corriente,voltaje,potencia,SOC
277.0,-0.0279755,3.550129,-0.0993166338395,0.4023130003509618
278.0,-0.027314,3.549768,-0.096958363152,0.40231412268055583
279.0,-0.024194,3.549312,-0.085872054528,0.4023151682489319
280.0,-0.022879,3.54897,-0.08119688463,0.40231612379059856
281.0,-0.021768,3.548643,-0.077246860824,0.40231703008653874
282.0,-0.0190005,3.548195,-0.0674174790975,0.40231785765224387
283.0,-0.0164935,3.54783,-0.058516134105,0.40231857815010713
284.0,-0.0167605,3.547446,-0.059456968683,0.4023192531778849
285.0,-0.0154315,3.547066,-0.054736548979,0.4023199066479704
286.0,-0.0414665,3.552292,-0.147301116218,0.40232106162873965
287.0,-0.040888,3.551997,-0.145234053336,0.4023227333547012
288.0,-0.037084,3.551672,-0.131710204448,0.40232431611965846
289.0,-0.037017,3.551283,-0.131457842811,0.4023258203066243
290.0,-0.0351375,3.550979,-0.1247725246125,0.40232728498130377
291.0,-0.0338805,3.550584,-0.120295561212,0.40232868598771404
292.0,-0.0310695,3.550218,-0.110303498151,0.40233000441720124
293.0,-0.0299565,3.549895,-0.1063424295675,0.40233124319284225
294.0,-0.0288405,3.549545,-0.1023706525725,0.4023324367216884
295.0,-0.0266055,3.549153,-0.0944269901415,0.40233356222809863
296.0,-0.025306,3.54885,-0.0898071980999999,0.40233461598717984
297.0,-0.022817,3.548431,-0.080964550127,0.40233559284294906
298.0,-0.0222395,3.54816,-0.07890930432,0.4023365074513892
299.0,-0.0210835,3.547703,-0.0747979962005,0.402337386871261
300.0,-0.018033,3.547404,-0.063970336332,0.4023381809027781
301.0,-0.017091,3.54703,-0.0606222897299999,0.4023388938899576
302.0,-0.016187,3.546634,-0.057409364558,0.40233956940491483
303.0,-0.015204,3.546306,-0.053918036424,0.40234020661538494
304.0,-0.012525,3.545914,-0.04441257285,0.40234076949038494
305.0,-0.009327,3.545517,-0.033069037059,0.402341213067308
306.0,-0.0097825,3.545116,-0.03468009727,0.4023416009738251
307.0,-0.008243,3.544826,-0.029220000718,0.4023419668760687
308.0,-0.0059645,3.544414,-0.021140657303,0.40234225527617556
309.0,-0.0024645,3.544045,-0.0087342989025,0.4023424263776713
310.0,-0.002328,3.543674,-0.008249673072,0.40234252366132517
311.0,0.000923,3.543299,0.003270464977,0.4023425521816243
312.0,0.001028,3.54286,0.00364206008,0.4023425104935901
313.0,0.002816,3.542521,0.0099757391359999,0.402342428356838
314.0,0.005321,3.542102,0.018847524742,0.4023422544893166
315.0,0.0077225,3.541697,0.0273507550825,0.40234197578205166
316.0,0.008559,3.541347,0.030310388973,0.40234162788675254
317.0,0.01078,3.540983,0.03817179674,0.4023412146602568
318.0,0.0118065,3.540599,0.0418020820935,0.4023407320427354
319.0,0.0111345,3.540323,0.0394197264435,0.4023402418504277
320.0,0.0145415,3.539849,0.0514747142335,0.4023396932179491
321.0,0.0173675,3.539457,0.0614715194475,0.4023390114017098
322.0,0.0184035,3.539118,0.065132158113,0.402338247064103
323.0,0.0210975,3.538572,0.07465502277,0.40233740302564147
324.0,0.0211795,3.538415,0.0749418604925,0.4023364996709406
325.0,0.023321,3.537998,0.082509651358,0.402335548805556
326.0,0.023591,3.537592,0.083455332872,0.4023345464123936
327.0,0.025223,3.537139,0.0892172569969999,0.40233350337820556
328.0,0.027734,3.536852,0.098091053368,0.4023323718183765
329.0,0.02938,3.536381,0.10389887378,0.40233115143376114
330.0,0.030622,3.535989,0.108279055158,0.402329869339744
331.0,0.0321055,3.535647,0.1135137147585,0.40232852900854743
332.0,0.0336835,3.535301,0.1190813112334999,0.4023271232606842
333.0,0.034075,3.534904,0.1204518538,0.4023256754294876
334.0,0.0370335,3.534568,0.130897424028,0.4023241560170944
335.0,0.038635,3.534225,0.136544782875,0.40232253916880384
336.0,0.041559,3.53378,0.14686036302,0.4023208256217953
337.0,0.0444305,3.53328,0.15698539704,0.40231898823931667
338.0,0.0431105,3.53291,0.152305516555,0.4023171177051286
339.0,0.0466495,3.532578,0.164792997411,0.40231519975641067
340.0,0.0475375,3.532192,0.1679115772,0.40231318721367565
341.0,0.049434,3.53178,0.17459001252,0.4023111151730774
342.0,0.0511325,3.53148,0.1805734011,0.4023089663162398
343.0,0.0518555,3.531134,0.183108719137,0.4023067657179492
344.0,0.051818,3.531039,0.182971378902,0.4023045504722227
345.0,0.0518665,3.530985,0.1831398335025,0.40230233499145346
346.0,0.0525605,3.530919,0.1855868680995,0.4023001036452996
347.0,0.0528025,3.53095,0.186442987375,0.4022978522991458
348.0,0.0519535,3.530978,0.183446665523,0.4022956139230774
349.0,0.0521755,3.530954,0.184229290427,0.4022933889444449
350.0,0.0507725,3.531113,0.1792834347925,0.40229118920085516
351.0,0.078673,3.525533,0.277364257709,0.402288423271368
352.0,0.0802565,3.525432,0.2829388333079999,0.4022850273418808
353.0,0.0773265,3.525421,0.2726084669565,0.40228166018376116
354.0,0.077756,3.525621,0.274138186476,0.40227834645512867
355.0,0.0766345,3.525545,0.2701783783024999,0.40227504751282095
356.0,0.0773125,3.525522,0.272566919625,0.402271758047009
357.0,0.0747185,3.525698,0.263434866013,0.40226850952136795
358.0,0.0749085,3.5258,0.2641123893,0.4022653123632483
359.0,0.0748675,3.52573,0.263962590775,0.40226211202136797
360.0,0.0762285,3.525741,0.2687619478185,0.4022588834743594
361.0,0.074199,3.525846,0.261614247354,0.4022556692115389
362.0,0.0721855,3.525936,0.254521453128,0.40225254133760724
363.0,0.071467,3.525962,0.251989926254,0.40224947183974397
364.0,0.0721095,3.526031,0.2542603323945,0.40224640396581235
365.0,0.0727075,3.526185,0.2563800958875,0.40224330958547044
366.0,0.071429,3.526225,0.251874725525,0.4022402297457269
367.0,0.0709075,3.526211,0.2500348064825,0.40223718836752176
368.0,0.0692425,3.526395,0.2441764057875,0.4022341937094021
369.0,0.0684505,3.526498,0.241390551349,0.4022312515512825
370.0,0.0704655,3.526477,0.2484949650435,0.40222828326068416
371.0,0.069622,3.526539,0.245524698258,0.4022252899380346
372.0,0.068068,3.526672,0.240053509696,0.4022223478440175
373.0,0.0689345,3.526672,0.2431093709839999,0.40221942044017134
374.0,0.0675685,3.526913,0.2383082210405,0.4022165037094021
375.0,0.065617,3.527018,0.2314323401059999,0.402213657865385
376.0,0.065387,3.52707,0.23062452609,0.40221085863461575
377.0,0.0648725,3.527203,0.2288184766175,0.4022080753119662
378.0,0.064156,3.527364,0.226301564784,0.4022053182927354
379.0,0.063654,3.527347,0.2245297459379999,0.40220258730982944
380.0,0.0643435,3.527434,0.226967449579,0.4021998523205132
381.0,0.0347985,3.533276,0.122952704886,0.40219773390170976
382.0,0.033017,3.533485,0.116665074245,0.4021962848525645
383.0,0.033441,3.533514,0.1181642416739999,0.4021948648098294
384.0,0.032962,3.533681,0.116477193122,0.40219344594230805
385.0,0.0319515,3.533677,0.1129062806655,0.4021920589017098
386.0,0.0308195,3.533861,0.1089118290894999,0.40219071764102604
387.0,0.029532,3.53411,0.10436933652,0.4021894280790602
388.0,0.029947,3.534171,0.105837818937,0.4021881571602568
389.0,0.028209,3.534312,0.099699407208,0.40218691451068417
390.0,0.0273145,3.534516,0.0965435372819999,0.40218572811111153
391.0,0.026701,3.534657,0.094378876557,0.4021845739337611
392.0,0.027046,3.534896,0.095604797216,0.40218342549359015
393.0,0.025126,3.53486,0.08881689236,0.40218231070726534
394.0,0.0253405,3.535029,0.0895794023745,0.40218123236324826
395.0,0.0244305,3.535229,0.0863674120845,0.4021801688803423
396.0,0.025065,3.535239,0.088610765535,0.4021791112841885
397.0,0.023174,3.53549,0.08193144526,0.40217808053632526
398.0,0.022855,3.535633,0.080806892215,0.4021770970106842
399.0,0.02283,3.535831,0.08072302173,0.40217612083547055
400.0,0.0208655,3.536009,0.0737805957895,0.40217518717094064
401.0,0.0198895,3.536002,0.070329311779,0.4021743163376073
402.0,0.020565,3.536171,0.072721356615,0.40217345192521414
403.0,0.018469,3.53638,0.06531340222,0.4021726178653851
404.0,0.016904,3.536469,0.0597804719759999,0.4021718620320518
405.0,0.017228,3.536758,0.060931266824,0.4021711327158125
406.0,0.017348,3.536757,0.061355660436,0.40217039391239373
407.0,0.016997,3.536916,0.060116961252,0.40216966004487237
408.0,0.0146275,3.537097,0.0517388863675,0.4021689843076929
409.0,0.013473,3.537276,0.047657719548,0.4021683838696587
410.0,0.0122675,3.537508,0.04339637939,0.4021678338589749
411.0,0.013234,3.537652,0.046817286568,0.40216728895512877
412.0,0.011972,3.537808,0.042354637376,0.4021667503653852
413.0,0.010819,3.537942,0.038276994498,0.4021662633782057
414.0,0.010123,3.538132,0.035816510236,0.40216581589957323
